I1;I2;I3;gx;gy;gz;ax;ay;az;V1real;V2real;V3real;N1;N2;N3;Type
0,404761793;0,360805857;0,148351529;0,395;-0,604285714;36,77928571;-0,001796121;-0,066179565;-0,018240794;316,2857143;306,6428571;337,5;5524;5614;5918;3
0,201922881;0,384615013;0,387820444;0,054375;-3,8775;81,94875;-0,040130638;-0,054733275;0,002685592;750,9375;725,625;745,875;14405;14135;14168;3
0,34615375;0,29487165;0,23878195;-1,690625;-5,820625;82,38125;-0,003707843;0,028991641;-0,028167781;745,875;742,5;749,25;13812;13828;13898;3
1,211161706;0;1,013575706;0,810588235;0,082352941;0,813529412;0,001335588;0,001924395;-0,002498859;-219,1764706;0;231,8823529;-4348;0;4608;4
1,110106176;0;1,084465588;0,641764706;-0,037647059;0,760588229;-0,003087665;0,006160965;0,003906247;-222,3529412;0;231,8823529;-4001;2;4125;4
0,155354429;0;0,113122118;0,703529412;0,037058824;0,211764706;0,012996865;0,019832816;0,011072497;-4,764705882;0;7,941176471;-279;0;343;4
1,225641333;1,507692;1,164103;0,721333333;-0,124;4,484666667;0,006673175;-0,010302735;-0,011686192;77,4;-234;86,4;1729;-5173;1808;4
1,029059467;1,3452984;1,027350867;0,77;-0,172666667;3,850666667;-0,00128582;0,011197915;-0,017252629;70,2;-203,4;72;1249;-3618;1275;4
0,03760682;0,059829007;0,02905982;0,845333333;0,072666666;0,552666667;0,001969399;-0,00844726;-0,015755203;-5,4;3,6;0;-61;88;-51;4
1,167420471;1,306184706;1,155355118;0,964117647;0,380588235;-0,817647059;-0,00205365;0,007984832;-0,010081562;-28,58823529;-255,7058824;416,1176471;-591;-4740;7561;4
1,239820588;1,322775882;1,113122706;0,635882353;0,182941176;-0,618235294;0,01434684;0,014404307;0,011919805;-27;-262,0588235;424,0588235;-547;-4944;7933;4
0,087481088;0,073906435;0,051282012;1,014117647;0,125294117;0,526470588;0,006907773;0,001364317;0,003188188;7,941176471;7,941176471;-4,764705882;176;133;-72;4
0,956731;1,141026625;0,996794813;-0,296875;0,408125;9,860625;0,002868652;-0,020446761;-0,015624988;101,25;94,5;101,25;1949;1751;1884;4
0,919870813;1,10576925;1,0256415;-0,503125;0,73125;9,54875;0,004089352;-0,026702896;-0,015792841;109,6875;92,8125;106,3125;1851;1647;1759;4
0,3044872;0,403846525;0,328525938;-0,371249994;1,0325;4,07875;0,00404358;-0,015777594;-0,015197762;27;27;32,0625;544;426;542;4
0,823931667;1,075213533;0,769230867;0,094666667;-1,285333333;28,17666667;0,010465494;-0,000651079;0,008219394;298,8;279;309,6;5234;4849;5302;4
0,883760533;1,073504;0,801709533;0,276;-1,616666667;28,36066667;0,006396486;-0,004899087;-0,0117513;300,6;280,8;300,6;4784;4570;4885;4
0,844444533;1,063247867;0,781196467;0,263333333;-1,393333333;26,788;0,013378911;0,028401675;-0,004069005;271,8;259,2;280,8;4905;4655;5038;4
0,835165357;1,184981214;0,851648571;-0,5;-3,739285714;66,17571429;0,002650661;-0,020350791;0,001552089;690,4285714;676,9285714;700,0714286;11668;11211;11659;4
0,924908714;1,102563286;0,8296705;-0,693571429;-3,573571429;66,36571429;-0,004132957;0,004568957;-0,014072997;684,6428571;678,8571429;694,2857143;11136;10896;11302;4
0,85348;1,0183145;0,893773;-0,053571429;-3,991428571;66,50571429;0,009155236;-0,080147934;-0,011422231;698,1428571;682,7142857;690,4285714;11153;10912;11255;4
0,7726498;0;0,7401712;0,686666667;0,072666667;0,708666667;0,001627593;0,006298829;0,002294931;-257,4;-1,8;261;-4120;-7;4126;5
0,82906;0,006837613;0,794871867;0,991333333;0,062;0,636666653;0,004541014;0,004931645;-0,005826823;-246,6;1,8;270;-4057;9;4124;5
0,7299148;0,013675207;0,7452994;0,816666667;0,193999987;0,936;-0,000374352;0,014160157;-0,009830731;-257,4;0;259,2;-4132;-13;4157;5
0,475213533;0,894017067;0,4444442;0,774;0,172;-0,29533334;0,011962895;0,015625001;0,005924481;145,8;-309,6;153;2373;-4934;2426;5
0,398290267;0,829059867;0,417093867;0,902;-0,103333333;0,566;-0,000358076;-0,010139976;-0,002490235;149,4;-313,2;147,6;2556;-5199;2580;5
0,42393154;0,752137;0,398290267;1,203333333;0,582666667;-0,416;-0,002197267;0,014550808;-0,012207029;147,6;-298,8;142,2;2272;-4735;2265;5
0,366986875;0,729166875;0,774038625;0,25625;-0,016874994;1,521875;0,014587408;0,014221194;-0,003585827;-101,25;-313,875;447,1875;-1796;-5535;7826;5
0,331730438;0,727564375;0,79166675;0,98625;-0,040625;1,2525;0,01356506;0,006042485;0,009597773;-111,375;-317,25;442,125;-1827;-5453;7713;5
0,145833194;0,447115506;0,498397506;0,794375;0,0125;1,201875;0,007049562;0,048171997;0,001480101;-67,5;-172,125;253,125;-1178;-3264;4621;5
0,199999807;0,3230766;0,4820512;0,467333333;-1,036666667;18,48133333;0,000764981;0,002229819;0,001595047;167,4;156,6;156,6;2736;2579;2440;5
0,480341867;0,353845933;0,217093807;0,306666667;-1,082;17,7;0,006136075;0,007991553;0,013557946;149,4;162;172,8;2492;2634;2817;5
0,413675067;0,314529667;0,358974067;0,294666667;-0,672666667;16,81333333;-4,88E-05;0,008365891;0,001741531;151,2;163,8;151,2;2677;2827;2771;5
0,2786322;0,4974358;0,300854407;0,238;-2,584666667;40,12266667;-0,010791018;0,007926423;-0,002604173;349,2;338,4;347,4;5674;5450;5626;5
0,288888733;0,449572533;0,270085273;0,153333333;-2,288666667;40,14;-0,019905607;0,003938797;-0,000585941;349,2;340,2;358,2;5847;5663;5901;5
0,314529673;0,331623667;0,3418802;0,096;-2,154666667;37,42533333;-0,015478519;0,000992843;-0,009016917;347,4;343,8;360;6025;6018;6005;5
0,28717934;0,3777778;0,391452807;-1,820666667;-5,03;82,96333333;0,027490202;0,046402979;-0,012874317;750,6;739,8;738;12100;12073;12049;5
0,370940007;0,427350267;0,336752067;-0,624;-4,574;83,28533333;0,014160189;-0,043896485;0,003906233;734,4;745,2;747;12493;12493;12564;5
0,3846152;0,473504207;0,333333213;0,030666667;-4,643333333;76,17;0,037239598;-0,06022136;0,063395187;680,4;685,8;689,4;11285;11278;11327;5
